Rank,Club,Country,Level,Elo,From,To
46,Feyenoord,NED,1,1733.40917969,2025-03-14,2025-03-16
47,Stuttgart,GER,1,1724.80322266,2025-03-14,2025-03-16
48,Torino,ITA,1,1714.58862305,2025-03-14,2025-03-15
49,Brugge,BEL,1,1711.38757324,2025-03-14,2025-03-16
50,Porto,POR,1,1703.20129395,2025-03-14,2025-03-15
51,Fenerbahce,TUR,1,1701.04150391,2025-03-14,2025-03-16
52,Ajax,NED,1,1697.08752441,2025-03-14,2025-03-16
53,Sociedad,ESP,1,1695.50061035,2025-03-14,2025-03-16
54,Wolfsburg,GER,1,1694.67492676,2025-03-14,2025-03-15
55,Sevilla,ESP,1,1694.63049316,2025-03-14,2025-03-16
56,Nice,FRA,1,1694.40588379,2025-03-15,2025-03-29
57,Leeds,ENG,2,1694.01940918,2025-03-14,2025-03-15
58,Girona,ESP,1,1693.56311035,2025-03-14,2025-03-15
59,Wolves,ENG,1,1691.04199219,2025-03-14,2025-03-15
60,Freiburg,GER,1,1689.6048584,2025-03-14,2025-03-15
61,Slavia Praha,CZE,1,1682.03271484,2025-03-14,2025-03-16
62,Celtic,SCO,1,1681.06359863,2025-03-14,2025-03-16
63,Celta,ESP,1,1680.06359863,2025-03-14,2025-03-15
64,Brest,FRA,1,1678.046875,2025-03-14,2025-03-16
65,Burnley,ENG,2,1678.01721191,2025-03-14,2025-03-15
66,Strasbourg,FRA,1,1677.95495605,2025-03-14,2025-03-16
67,Galatasaray,TUR,1,1677.52490234,2025-03-15,2025-04-10
68,Osasuna,ESP,1,1676.48828125,2025-03-14,2025-03-16
69,Udinese,ITA,1,1676.47766113,2025-03-14,2025-03-15
70,Getafe,ESP,1,1673.77746582,2025-03-14,2025-03-16
71,Lens,FRA,1,1670.28894043,2025-03-14,2025-03-15
72,Toulouse,FRA,1,1667.96923828,2025-03-14,2025-03-16
73,St Gillis,BEL,1,1667.19799805,2025-03-14,2025-03-15
74,Mallorca,ESP,1,1666.56811523,2025-03-14,2025-03-15
75,Genoa,ITA,1,1665.31640625,2025-03-15,2025-03-29
76,Rayo Vallecano,ESP,1,1664.53417969,2025-03-14,2025-03-16
77,Augsburg,GER,1,1656.88061523,2025-03-14,2025-03-15
78,Gladbach,GER,1,1656.75854492,2025-03-14,2025-03-15
79,Valencia,ESP,1,1653.1583252,2025-03-14,2025-03-15
80,Rennes,FRA,1,1652.01782227,2025-03-14,2025-03-15
81,Werder,GER,1,1649.74084473,2025-03-14,2025-03-15
82,Olympiakos,GRE,1,1649.17138672,2025-03-14,2025-04-10
83,Braga,POR,1,1648.80456543,2025-03-14,2025-03-15
84,Sparta Praha,CZE,1,1644.03198242,2025-03-14,2025-03-15
85,Bodoe Glimt,NOR,1,1637.4576416,2025-03-14,2025-04-10
86,Zenit,RUS,1,1635.76379395,2025-03-14,2025-04-10
87,Genk,BEL,1,1635.4654541,2025-03-14,2025-03-15
88,Alaves,ESP,1,1633.32727051,2025-03-15,2025-03-29
89,Alkmaar,NED,1,1626.22106934,2025-03-14,2025-03-16
90,Sassuolo,ITA,2,1624.86181641,2025-03-14,2025-03-15
91,Hoffenheim,GER,1,1622.94189453,2025-03-15,2025-03-29
92,Espanyol,ESP,1,1622.63549805,2025-03-14,2025-03-15
93,Sheffield United,ENG,2,1615.18347168,2025-03-14,2025-03-16
94,Crvena Zvezda,SRB,1,1614.64794922,2025-03-14,2025-03-16
95,Twente,NED,1,1611.56933594,2025-03-14,2025-03-16
96,Auxerre,FRA,1,1607.1920166,2025-03-15,2025-03-30
97,Rangers,SCO,1,1605.81591797,2025-03-14,2025-03-16
98,Como,ITA,1,1602.9197998,2025-03-14,2025-03-15
99,Viktoria Plzen,CZE,1,1602.67114258,2025-03-14,2025-03-16
100,Cagliari,ITA,1,1602.00598145,2025-03-14,2025-03-16
None,Leicester,ENG,1,1600.19360352,2025-03-14,2025-03-16
None,Union Berlin,GER,1,1599.91467285,2025-03-14,2025-03-15
None,Verona,ITA,1,1596.03491211,2025-03-14,2025-03-15
None,FC Krasnodar,RUS,1,1595.28393555,2025-03-08,2025-04-10
None,Las Palmas,ESP,1,1592.11181641,2025-03-15,2025-03-31
None,Leganes,ESP,1,1590.3828125,2025-03-14,2025-03-16
None,FC Kobenhavn,DEN,1,1590.03381348,2025-03-14,2025-03-16
None,Anderlecht,BEL,1,1589.88000488,2025-03-14,2025-03-16
None,Empoli,ITA,1,1588.54467773,2025-03-14,2025-03-15
None,Ipswich,ENG,1,1588.03051758,2025-03-14,2025-03-15
None,Levante,ESP,2,1586.64562988,2025-03-14,2025-03-16
None,Lecce,ITA,1,1584.03552246,2025-03-15,2025-03-29
None,Spartak Moskva,RUS,1,1582.66674805,2025-03-10,2025-04-10
None,Guimaraes,POR,1,1577.18347168,2025-03-14,2025-03-16
None,Midtjylland,DEN,1,1575.86303711,2025-03-14,2025-03-16
None,Utrecht,NED,1,1575.3807373,2025-03-14,2025-03-15
None,St Pauli,GER,1,1574.94445801,2025-03-15,2025-03-29
None,Gent,BEL,1,1574.86254883,2025-03-14,2025-03-16
None,Hamburg,GER,2,1568.62243652,2025-03-15,2025-04-10
None,AEK,GRE,1,1567.87011719,2025-03-14,2025-04-10
None,Elche,ESP,2,1567.81396484,2025-03-15,2025-04-10
None,Parma,ITA,1,1567.37414551,2025-03-14,2025-03-15
None,Monza,ITA,1,1566.89880371,2025-03-14,2025-03-15
None,Lorient,FRA,2,1566.01806641,2025-03-14,2025-03-15
None,Reims,FRA,1,1565.77453613,2025-03-14,2025-03-16
None,Metz,FRA,2,1565.3079834,2025-03-14,2025-03-15
None,Bochum,GER,1,1564.44580078,2025-03-14,2025-03-16
None,Sturm Graz,AUT,1,1563.1517334,2025-03-14,2025-03-16
None,West Brom,ENG,2,1563.14331055,2025-03-14,2025-03-15
None,Sunderland,ENG,2,1561.86303711,2025-03-14,2025-03-15
None,Almeria,ESP,2,1560.14123535,2025-03-14,2025-03-15
None,Antwerp,BEL,1,1558.64550781,2025-03-14,2025-03-16
None,Dynamo Moskva,RUS,1,1556.8572998,2025-03-09,2025-04-10
None,Huesca,ESP,2,1556.5213623,2025-03-14,2025-03-16
None,Nantes,FRA,1,1555.84667969,2025-03-14,2025-03-15
None,Cadiz,ESP,2,1555.76318359,2025-03-14,2025-03-16
None,Koeln,GER,2,1555.38366699,2025-03-14,2025-03-15
None,Oviedo,ESP,2,1555.19799805,2025-03-15,2025-04-10
None,Mirandes,ESP,2,1554.56494141,2025-03-14,2025-03-16
None,Venezia,ITA,1,1554.00439453,2025-03-14,2025-03-16
None,Shakhtar,UKR,1,1552.88708496,2025-03-12,2025-04-10
None,CSKA Moskva,RUS,1,1552.6217041,2025-03-09,2025-04-10
None,Santander,ESP,2,1551.80737305,2025-03-14,2025-03-16
None,Salzburg,AUT,1,1551.73254395,2025-03-14,2025-03-16
None,Southampton,ENG,1,1550.01403809,2025-03-14,2025-03-15
None,Nordsjaelland,DEN,1,1548.1652832,2025-03-14,2025-03-16
None,Granada,ESP,2,1542.54174805,2025-03-14,2025-03-16
None,Holstein,GER,1,1539.69091797,2025-03-14,2025-03-16
None,Coventry,ENG,2,1539.67749023,2025-03-14,2025-03-15
None,Lok Moskva,RUS,1,1537.49072266,2025-03-08,2025-04-10
None,Montpellier,FRA,1,1537.21643066,2025-03-14,2025-03-16
None,Rakow,POL,1,1535.29980469,2025-03-14,2025-03-16
None,Spezia,ITA,2,1534.66259766,2025-03-14,2025-03-15
None,Brondby,DEN,1,1534.56396484,2025-03-14,2025-03-16
None,Heidenheim,GER,1,1534.36914062,2025-03-14,2025-03-16
None,Malmoe,SWE,1,1532.84338379,2025-03-14,2025-04-10
None,Valladolid,ESP,1,1532.26220703,2025-03-14,2025-03-15
None,Middlesbrough,ENG,2,1530.93493652,2025-03-14,2025-03-15
None,Bristol City,ENG,2,1530.13842773,2025-03-15,2025-04-10
None,PAOK,GRE,1,1527.95349121,2025-03-14,2025-04-10
None,Dinamo Zagreb,CRO,1,1527.9440918,2025-03-10,2025-03-15
None,Steaua,ROM,1,1527.92956543,2025-03-14,2025-03-16
None,Go Ahead Eagles,NED,1,1527.70141602,2025-03-14,2025-03-16
None,Cremonese,ITA,2,1526.27331543,2025-03-15,2025-04-10
None,Lech,POL,1,1526.03491211,2025-03-14,2025-03-16
None,Paris FC,FRA,2,1525.28308105,2025-03-14,2025-03-15
None,Panathinaikos,GRE,1,1523.47119141,2025-03-14,2025-04-10
None,Angers,FRA,1,1521.890625,2025-03-14,2025-03-15
None,Duesseldorf,GER,2,1520.91015625,2025-03-14,2025-03-15
None,Jagiellonia,POL,1,1520.42529297,2025-03-14,2025-03-16
None,Aarhus,DEN,1,1519.67919922,2025-03-14,2025-03-16
None,M Tel Aviv,ISR,1,1519.45983887,2025-03-09,2025-03-15
None,Pisa,ITA,2,1518.24291992,2025-03-14,2025-03-15
None,Eibar,ESP,2,1516.1328125,2025-03-14,2025-03-15
None,Norwich,ENG,2,1515.89367676,2025-03-15,2025-04-10
None,Legia,POL,1,1513.55358887,2025-03-14,2025-03-16
None,Gijon,ESP,2,1513.43164062,2025-03-14,2025-03-15
None,Le Havre,FRA,1,1512.18286133,2025-03-14,2025-03-16
None,Elfsborg,SWE,1,1512.04101562,2025-03-14,2025-04-10
None,Paderborn,GER,2,1508.66845703,2025-03-14,2025-03-15
None,Brann,NOR,1,1507.47558594,2025-03-14,2025-04-10
None,Razgrad,BUL,1,1505.13708496,2025-03-10,2025-03-15
None,Dynamo Kyiv,UKR,1,1504.43664551,2025-03-12,2025-04-10
None,Banik Ostrava,CZE,1,1503.96313477,2025-03-14,2025-03-16
None,Besiktas,TUR,1,1503.00109863,2025-03-14,2025-03-15
None,Sheffield Weds,ENG,2,1500.99829102,2025-03-14,2025-03-16
None,Famalicao,POR,1,1500.85852051,2025-03-14,2025-03-15
None,Karabakh Agdam,AZE,0,1500.29772949,2025-01-31,2025-04-10
None,Saint-Etienne,FRA,1,1495.57043457,2025-03-14,2025-03-16
None,Maccabi Haifa,ISR,1,1495.09069824,2025-03-10,2025-03-16
None,Mechelen,BEL,1,1493.01391602,2025-03-14,2025-03-16
None,Cercle Brugge,BEL,1,1492.29614258,2025-03-14,2025-03-16
None,Hannover,GER,2,1492.09411621,2025-03-15,2025-04-10
None,Watford,ENG,2,1490.86437988,2025-03-14,2025-03-15
None,Cordoba,ESP,2,1490.45275879,2025-03-14,2025-03-15
None,Preston,ENG,2,1490.20922852,2025-03-14,2025-03-15
None,Hull,ENG,2,1490.19885254,2025-03-14,2025-03-15
None,Molde,NOR,1,1489.6237793,2025-03-14,2025-04-10
None,Djurgarden,SWE,1,1488.92907715,2025-03-14,2025-04-10
None,Hammarby,SWE,1,1488.50964355,2025-03-14,2025-04-10
None,Depor,ESP,2,1488.19970703,2025-03-14,2025-03-17
None,Beer-Sheva,ISR,1,1488.08728027,2025-03-11,2025-03-15
None,Catanzaro,ITA,2,1487.54125977,2025-03-14,2025-03-16
None,Magdeburg,GER,2,1487.49060059,2025-03-15,2025-04-10
None,Young Boys,SUI,1,1487.21508789,2025-03-14,2025-03-16
None,Viking,NOR,1,1487.02661133,2025-03-14,2025-04-10
None,Austria Wien,AUT,1,1485.54663086,2025-03-14,2025-03-16
None,Albacete,ESP,2,1484.77319336,2025-03-14,2025-03-15
None,Millwall,ENG,2,1484.36877441,2025-03-14,2025-03-15
None,Servette,SUI,1,1482.93188477,2025-03-14,2025-03-15
None,Rostov,RUS,1,1481.48303223,2025-03-09,2025-04-10
None,Randers,DEN,1,1481.1932373,2025-03-14,2025-03-16
None,Charleroi,BEL,1,1480.69958496,2025-03-14,2025-03-16
None,Blackburn,ENG,2,1479.60107422,2025-03-14,2025-03-15
None,Arouca,POR,1,1477.52197266,2025-03-14,2025-03-16
None,Lautern,GER,2,1476.65576172,2025-03-14,2025-03-15
None,Casa Pia,POR,1,1476.59533691,2025-03-14,2025-03-16
None,Nijmegen,NED,1,1476.22033691,2025-03-14,2025-03-15
None,Karlsruhe,GER,2,1475.30371094,2025-03-14,2025-03-16
None,Burgos,ESP,2,1474.93945312,2025-03-14,2025-03-15
None,Hajduk,CRO,1,1474.21313477,2025-03-10,2025-03-16
None,Palermo,ITA,2,1471.7532959,2025-03-15,2025-04-10
None,Pogon,POL,1,1470.26721191,2025-03-15,2025-04-10
None,QPR,ENG,2,1470.04748535,2025-03-14,2025-03-15
None,Zaragoza,ESP,2,1469.75195312,2025-03-14,2025-03-15
None,Basel,SUI,1,1469.71130371,2025-03-14,2025-03-16
None,Leuven,BEL,1,1469.53674316,2025-03-14,2025-03-16
None,Malaga,ESP,2,1467.6081543,2025-03-14,2025-03-15
None,Bari,ITA,2,1466.72570801,2025-03-14,2025-03-15
None,Frosinone,ITA,2,1465.78149414,2025-03-14,2025-03-15
None,CFR Cluj,ROM,1,1465.41687012,2025-03-14,2025-03-15
None,Ferencvaros,HUN,1,1464.77587891,2025-03-10,2025-03-16
None,Rapid Wien,AUT,1,1464.56652832,2025-03-14,2025-03-16
None,Darmstadt,GER,2,1463.65917969,2025-03-14,2025-03-15
None,Rio Ave,POR,1,1463.59387207,2025-03-14,2025-03-16
None,Elversberg,GER,2,1463.44458008,2025-03-14,2025-03-15
None,Swansea,ENG,2,1463.36889648,2025-03-14,2025-03-15
None,Rosenborg,NOR,1,1462.62402344,2025-03-14,2025-04-10
None,Rijeka,CRO,1,1461.84130859,2025-03-08,2025-03-16
None,Schalke,GER,2,1461.78686523,2025-03-15,2025-04-10
None,St Truiden,BEL,1,1460.24841309,2025-03-14,2025-03-16
None,Castellon,ESP,2,1459.67163086,2025-03-14,2025-03-17
None,Guingamp,FRA,2,1457.39941406,2025-03-15,2025-04-10
None,Moreirense,POR,1,1456.95556641,2025-03-14,2025-03-16
None,Silkeborg,DEN,1,1456.82373047,2025-03-14,2025-03-16
None,Sparta Rotterdam,NED,1,1455.61865234,2025-03-14,2025-03-15
None,Bueyueksehir,TUR,1,1454.54992676,2025-03-14,2025-03-15
None,Luton,ENG,2,1454.18933105,2025-03-14,2025-03-15
None,Sampdoria,ITA,2,1452.65783691,2025-03-14,2025-03-16
None,Standard,BEL,1,1451.46862793,2025-03-14,2025-03-16
None,Westerlo,BEL,1,1451.36730957,2025-03-14,2025-03-16
None,Portsmouth,ENG,2,1450.27258301,2025-03-14,2025-03-15
None,Estoril,POR,1,1449.78186035,2025-03-14,2025-03-16
None,Stoke,ENG,2,1448.78308105,2025-03-14,2025-03-15
None,Eldense,ESP,2,1446.70373535,2025-03-14,2025-03-16
None,Heerenveen,NED,1,1446.50622559,2025-03-14,2025-03-15
None,Paphos,CYP,0,1445.92565918,2025-03-14,2025-04-10
None,Cesena,ITA,2,1445.44091797,2025-03-14,2025-03-15
None,Wolfsberg,AUT,1,1444.50500488,2025-03-14,2025-03-16
None,Trabzonspor,TUR,1,1444.47351074,2025-03-14,2025-03-15
None,Rubin Kazan,RUS,1,1443.58215332,2025-03-10,2025-04-10
None,Bastia,FRA,2,1443.21105957,2025-03-14,2025-03-15
None,Santa Clara,POR,1,1442.9440918,2025-03-14,2025-03-15
None,Suedtirol,ITA,2,1442.25488281,2025-03-14,2025-03-16
None,Dunkerque,FRA,2,1442.16955566,2025-03-14,2025-03-15
None,Modena,ITA,2,1441.68798828,2025-03-14,2025-03-15
None,Nuernberg,GER,2,1440.71679688,2025-03-14,2025-03-16
None,AIK,SWE,1,1439.01171875,2025-03-14,2025-04-10
None,Piast Gliwice,POL,1,1437.53479004,2025-03-14,2025-03-16
None,Juve Stabia,ITA,2,1437.49511719,2025-03-14,2025-03-15
None,Salernitana,ITA,2,1436.14489746,2025-03-14,2025-03-15
None,Olimpija Ljubljana,SVN,1,1435.07519531,2025-03-14,2025-03-15
None,Gornik,POL,1,1434.95117188,2025-03-14,2025-03-15
None,Fuerth,GER,2,1432.27539062,2025-03-14,2025-03-16
None,Samsunspor,TUR,1,1432.03796387,2025-03-14,2025-03-16
None,Laval,FRA,2,1432.00683594,2025-03-14,2025-03-15
None,Troyes,FRA,2,1431.98046875,2025-03-15,2025-04-10
None,Rodez,FRA,2,1431.22741699,2025-03-15,2025-04-10
None,Sittard,NED,1,1429.3338623,2025-03-14,2025-03-16
None,Jablonec,CZE,1,1429.11218262,2025-03-14,2025-03-16
None,Zwolle,NED,1,1427.47949219,2025-03-14,2025-03-15
None,Cracovia,POL,1,1426.88769531,2025-03-15,2025-04-10
None,Tenerife,ESP,2,1426.33251953,2025-03-14,2025-03-16
None,Lugano,SUI,1,1426.2923584,2025-03-14,2025-03-16
None,Aris,GRE,1,1425.92773438,2025-03-14,2025-04-10
None,Hertha,GER,2,1425.66491699,2025-03-14,2025-03-16
None,Gil Vicente,POR,1,1424.63244629,2025-03-14,2025-03-15
None,Mlada Boleslav,CZE,1,1424.2310791,2025-03-14,2025-03-15
None,LASK,AUT,1,1423.59863281,2025-03-14,2025-03-16
None,Craiova,ROM,1,1423.50219727,2025-03-15,2025-04-10
None,Larnaca,CYP,0,1423.26318359,2025-03-14,2025-04-10
None,Cardiff,ENG,2,1423.0994873,2025-03-14,2025-03-15
None,Omonia,CYP,0,1421.99291992,2025-03-14,2025-04-10
None,StGallen,SUI,1,1421.81323242,2025-03-14,2025-03-15
None,Brescia,ITA,2,1421.6953125,2025-03-14,2025-03-15
None,Mjaellby,SWE,1,1421.12121582,2025-03-14,2025-04-10
None,Clermont,FRA,2,1420.52624512,2025-03-15,2025-04-10
None,Haecken,SWE,1,1419.67028809,2025-03-14,2025-04-10
None,Viborg,DEN,1,1419.43798828,2025-03-14,2025-03-16
None,Nacional,POR,1,1415.57617188,2025-03-14,2025-03-16
None,Oxford,ENG,2,1413.95947266,2025-03-14,2025-03-15
None,Derby,ENG,2,1410.24389648,2025-03-14,2025-03-15
None,Kasimpasa,TUR,1,1409.89013672,2025-03-14,2025-03-15
None,Luzern,SUI,1,1408.41247559,2025-03-14,2025-03-15
None,Annecy,FRA,2,1408.31091309,2025-03-15,2025-04-10
None,Slovan Bratislava,SLK,0,1408.17736816,2025-01-30,2025-04-10
None,Sigma Olomouc,CZE,1,1408.05053711,2025-03-14,2025-03-16
None,Puskas Akademia,HUN,1,1405.85644531,2025-03-10,2025-03-16
None,Hradec Kralove,CZE,1,1404.22766113,2025-03-14,2025-03-16
None,Zuerich,SUI,1,1403.8125,2025-03-14,2025-03-15
None,Grenoble,FRA,2,1403.40661621,2025-03-15,2025-04-10
None,Hearts,SCO,1,1403.22155762,2025-03-14,2025-03-15
None,Hibernian,SCO,1,1403.19543457,2025-03-14,2025-03-15
None,Alanyaspor,TUR,1,1401.5300293,2025-03-14,2025-03-15
None,Plymouth,ENG,2,1401.0802002,2025-03-14,2025-03-15
None,Heracles,NED,1,1400.82861328,2025-03-14,2025-03-15
None,Eyupspor,TUR,1,1400.13916016,2025-03-14,2025-03-16
None,Reggiana,ITA,2,1397.74438477,2025-03-14,2025-03-16
None,APOEL,CYP,0,1397.49060059,2025-03-14,2025-04-10
None,Slovan Liberec,CZE,1,1396.74829102,2025-03-14,2025-03-15
None,Carrarese,ITA,2,1395.02294922,2025-03-14,2025-03-16
None,Groningen,NED,1,1393.70532227,2025-03-14,2025-03-16
None,Mantova,ITA,2,1393.14916992,2025-03-14,2025-03-15
None,Kryliya Sovetov,RUS,1,1393.12023926,2025-03-10,2025-04-10
None,Gaziantep FK,TUR,1,1392.15930176,2025-03-14,2025-03-15
None,Cosenza,ITA,2,1391.88891602,2025-03-14,2025-03-16
None,AVS Futebol,POR,1,1391.12487793,2025-03-14,2025-03-15
None,Rapid Bucuresti,ROM,1,1390.47009277,2025-03-14,2025-03-16
None,Cittadella,ITA,2,1387.86560059,2025-03-14,2025-03-15
None,Maribor,SVN,1,1387.69372559,2025-03-14,2025-03-16
None,Lausanne,SUI,1,1387.65856934,2025-03-14,2025-03-15
None,Terek Grozny,RUS,1,1387.53295898,2025-03-08,2025-04-10
None,Pau,FRA,2,1386.34973145,2025-03-15,2025-04-10
None,Korona,POL,1,1385.5546875,2025-03-14,2025-03-16
None,Hartberg,AUT,1,1385.3092041,2025-03-14,2025-03-16
None,Estrela Amadora,POR,1,1385.29309082,2025-03-14,2025-03-16
None,Ajaccio,FRA,2,1384.76196289,2025-03-15,2025-04-10
None,Tromso,NOR,1,1383.69873047,2025-03-14,2025-04-10
None,IK Sirius,SWE,1,1383.37109375,2025-03-14,2025-04-10
None,Ferrol,ESP,2,1382.53125,2025-03-14,2025-03-15
None,Dender,BEL,1,1380.44311523,2025-03-14,2025-03-16
None,Waalwijk,NED,1,1380.31750488,2025-03-14,2025-03-15
None,Farense,POR,1,1379.83178711,2025-03-14,2025-03-15
None,Paksi,HUN,1,1379.39953613,2025-03-15,2025-04-10
None,Levski,BUL,1,1379.30078125,2025-03-10,2025-03-16
None,Fredrikstad,NOR,1,1378.32788086,2025-03-14,2025-04-10
None,Goeztepe,TUR,1,1377.97961426,2025-03-14,2025-03-16
None,Sheriff Tiraspol,MOL,0,1376.75268555,2025-01-01,2025-04-10
None,Trnava,SLK,0,1375.41503906,2025-01-30,2025-04-10
None,Universitatea Cluj,ROM,1,1375.17944336,2025-03-15,2025-04-10
None,Antalyaspor,TUR,1,1373.67041016,2025-03-15,2025-04-10
None,Braunschweig,GER,2,1373.3762207,2025-03-14,2025-03-16
None,Rizespor,TUR,1,1372.95227051,2025-03-14,2025-03-16
None,Konyaspor,TUR,1,1372.7689209,2025-03-14,2025-03-15
None,Sivasspor,TUR,1,1372.55761719,2025-03-14,2025-03-16
None,Red Star,FRA,2,1371.99865723,2025-03-15,2025-04-10
None,Sarpsborg,NOR,1,1371.83850098,2025-03-14,2025-04-10
None,Muenster,GER,2,1371.5032959,2025-03-14,2025-03-15
None,Katowice,POL,1,1371.44116211,2025-03-14,2025-03-15
None,Ruzomberok,SLK,0,1369.51281738,2025-01-30,2025-04-10
None,Breda,NED,1,1368.73535156,2025-03-15,2025-04-10
None,Stromsgodset,NOR,1,1366.89599609,2025-03-14,2025-04-10
None,Olexandriya,UKR,1,1364.67199707,2025-03-12,2025-04-10
None,Lok Zagreb,CRO,1,1363.53417969,2025-03-09,2025-03-15
None,Cherno More,BUL,1,1363.23632812,2025-03-09,2025-03-15
None,Hapoel Haifa,ISR,1,1362.35998535,2025-03-09,2025-03-15
None,Ulm,GER,2,1361.33337402,2025-03-14,2025-03-16
None,Osijek,CRO,1,1360.89733887,2025-03-09,2025-03-16
None,Willem II,NED,1,1360.60522461,2025-03-14,2025-03-16
None,Slovacko,CZE,1,1360.49633789,2025-03-14,2025-03-15
None,Amiens,FRA,2,1360.49291992,2025-03-15,2025-04-10
None,Sepsi,ROM,1,1360.09777832,2025-03-14,2025-03-17
None,Celje,SVN,1,1359.79333496,2025-03-14,2025-03-16
None,Beitar,ISR,1,1359.16918945,2025-03-11,2025-03-16
None,Partizan,SRB,1,1358.56176758,2025-03-09,2025-03-16
None,Akron Togliatti,RUS,1,1358.19946289,2025-03-10,2025-04-10
None,Cartagena,ESP,2,1355.40979004,2025-03-14,2025-03-15
None,Fakel Voronezh,RUS,1,1355.10852051,2025-03-09,2025-04-10
None,Slask,POL,1,1354.98791504,2025-03-14,2025-03-15
None,Motor Lublin,POL,1,1354.89538574,2025-03-14,2025-03-15
None,FK Astana,KAZ,0,1354.60595703,2025-01-01,2025-04-10
None,Bohemians Praha,CZE,1,1354.49377441,2025-03-14,2025-03-15
None,Radomiak,POL,1,1354.42382812,2025-03-15,2025-04-10
None,Kayseri,TUR,1,1352.6517334,2025-03-14,2025-03-15
None,Caen,FRA,2,1350.92712402,2025-03-15,2025-04-10
None,BW Linz,AUT,1,1347.359375,2025-03-14,2025-03-16
None,Dinamo Bucuresti,ROM,1,1346.64135742,2025-03-14,2025-03-15
None,Stal Mielec,POL,1,1345.43212891,2025-03-14,2025-03-15
None,Teplice,CZE,1,1345.1114502,2025-03-14,2025-03-15
None,Orenburg,RUS,1,1344.20166016,2025-03-09,2025-04-10
None,Varnamo,SWE,1,1343.46240234,2025-03-14,2025-04-10
None,Goeteborg,SWE,1,1342.79589844,2025-03-14,2025-04-10
None,Kortrijk,BEL,1,1342.21655273,2025-03-14,2025-03-16
None,Boavista,POR,1,1341.0435791,2025-03-14,2025-03-16
None,Almere,NED,1,1341.02722168,2025-03-15,2025-04-10
None,Lyngby,DEN,1,1340.66833496,2025-03-14,2025-03-16
None,Widzew,POL,1,1339.79760742,2025-03-14,2025-03-15
None,CSKA Sofia,BUL,1,1339.66162109,2025-03-09,2025-03-15
None,FC Khimki,RUS,1,1339.14794922,2025-03-09,2025-04-10
None,Sion,SUI,1,1338.65222168,2025-03-14,2025-03-16
